COUNTY,WATERBODY,STATION,LATITUDE,LONGITUDE,n_year,n_year_superchill,likelihood
Shelburne,Port La Tour,Taylors Rock,43.46887,-65.43173,4,0,0
Shelburne,Shelburne Harbour,McNutts Island,43.63034,-65.26101,4,0,0
Shelburne,Woods Harbour,Camerons Cove,43.49714,-65.73784,2,1,0.5
Victoria,Aspy Bay,North Harbour,46.91123,-60.47478,2,1,0.5
Victoria,Bras d'Or Lakes,Great Bras d'Or Channel NE-E,46.2513689,-60.4645225,2,2,1
Victoria,Bras d'Or Lakes,Great Bras d'Or Channel NE-W,46.2554808,-60.4711926,2,2,1
Victoria,Bras d'Or Lakes,Little Narrows - N,45.9989801,-60.974338,2,0,0
Victoria,Bras d'Or Lakes,Little Narrows - S,45.9864085,-60.9902771,2,1,0.5
Victoria,Bras d'Or Lakes,Nyanza Bay - E,46.0652428,-60.8948307,2,0,0
Victoria,Bras d'Or Lakes,Nyanza Bay - W,46.0647787,-60.9023563,2,0,0
Yarmouth,Chebogue Harbour,Big Pond Point,43.770388,-66.135192,1,0,0
Yarmouth,Lobster Bay,Morris Island,43.79075,-65.91163,1,1,1
Yarmouth,Lobster Bay,Old Point Channel,43.72102036,-65.84574206,3,3,1
Yarmouth,Lobster Bay,Ram Island,43.68447,-65.83601,4,2,0.5
Yarmouth,Lobster Bay,Wedgeport,43.69405,-65.95942,2,0,0
