county,station,sensor_depth_at_low_tide_m,n_heat_stress_days,n_year,likelihood,waterbody,latitude,longitude
Digby,1012,15,0,1,0,St. Marys Bay,44.40710185,-66.16053223
Digby,Long Beach,15,0,2,0,St. Marys Bay,44.401726,-66.159589
Digby,Long Island 1,15,0,1,0,St. Marys Bay,44.35013,-66.2243
Digby,Long Island 2,15,0,2,0,St. Marys Bay,44.333112,-66.202076
Digby,Mid Bay,15,0,1,0,St. Marys Bay,44.386837,-66.14424124
Digby,Sandy Cove,15,0,2,0,St. Marys Bay,44.485671,-66.059566
Guysborough,Barren Island,15,39.55,5,0.09,Marie Joseph Harbour,44.94988,-62.01012
Guysborough,Center Bay,15,32.72,5,0.07,Tor Bay,45.22564,-61.2961
Guysborough,Dorts Cove 1,15,25.04,3,0.09,Chedabucto Bay,45.36076,-61.40706
Guysborough,Eddy Cove,15,21.86,2,0.12,Strait of Canso,45.52511,-61.25595
Guysborough,Madeline Point 1,15,32.68,4,0.09,Dover Bay,45.2656,-60.95991
Guysborough,Meal Rock,15,42.21,4,0.11,Fishermans Harbour,45.10312,-61.63028
Guysborough,Moose Point 1,15,56.36,5,0.12,Chedabucto Bay,45.3948,-61.40709
Guysborough,Pirate Harbour,15,23.46,2,0.13,Strait of Canso,45.58928,-61.37943
Guysborough,Rook Island 1,15,47.089999999999996,4,0.13,Chedabucto Bay,45.35227,-61.28686
Guysborough,Seal Cove 1,15,23.75,3,0.09,Dover Bay,45.25184,-61.01773
Guysborough,The Bull,15,58.31,3,0.21,New Harbour,45.15527,-61.39867
Guysborough,Tickle Island 1,15,26.98,3,0.1,Chedabucto Bay,45.3594,-61.04287
Halifax,Beaver Point,15,8.870000000000001,4,0.02,Beaver Harbour,44.87761,-62.39922
Halifax,Borgles Island,15,0,1,0,Shoal Bay,44.77437,-62.72518
Halifax,East Gibbs Island,15,10.03,2,0.05,Sheet Harbour,44.83858,-62.51107
Halifax,Shad Bay,15,16.59,2,0.09,Shad Bay,44.50116,-63.81413
Halifax,Shut-In Island,15,36.27,6,0.07,St. Margarets Bay,44.55452,-63.95672
Halifax,Spry Harbour,15,0,3,0,Spry Bay,44.81769,-62.62061
Lunenburg,Birchy Head,15,43.82,6,0.08,St. Margarets Bay,44.57130379,-64.035121470000007
Lunenburg,Flat Island,15,12.27,6,0.02,Mahone Bay,44.43346,-64.1312
Lunenburg,Little Rafuse Island,15,1.57,5,0,Mahone Bay,44.43509,-64.25171
Lunenburg,Tilley Point,15,17.66,4,0.05,St. Margarets Bay,44.5483,-64.01741
Lunenburg,Upper Blandford,15,1.78,2,0.01,Mahone Bay,44.50889,-64.13291
Queens,Mersey Point,15,1.46,2,0.01,Liverpool Bay,44.02611,-64.66574
Richmond,Cape Auguet,15,16.200000000000003,3,0.06,Arichat Harbour,45.49824,-61.0913
Shelburne,Camerons Cove,15,0,1,0,Woods Harbour,43.49714,-65.73784
Shelburne,Ingomar,15,13.53,5,0.03,Negro Harbour,43.52369502,-65.35572913
Shelburne,McNutts Island,15,2.7,3,0.01,Shelburne Harbour,43.63034,-65.26101
Shelburne,Taylors Rock,15,5.71,3,0.02,Port La Tour,43.46887,-65.43173
Victoria,Great Bras d'Or Channel NE-E,15,56.04,1,0.61,Bras d'Or Lakes,46.2513689,-60.4645225
Victoria,Great Bras d'Or Channel NE-W,15,56.71,1,0.62,Bras d'Or Lakes,46.2554808,-60.4711926
Victoria,Little Narrows S,15,46.830000000000005,1,0.51,Bras d'Or Lakes,45.9864085,-60.9902771
